Provinsi,Tahun,TPT,TPT Actual,TPT NBC,TPT SVM
SULAWESI UTARA,2022,6.61,Tinggi,Tinggi,Tinggi
SULAWESI TENGAH,2022,3.0,Rendah,Rendah,Rendah
SULAWESI SELATAN,2022,4.51,Rendah,Tinggi,Rendah
SULAWESI TENGGARA,2022,3.36,Rendah,Tinggi,Rendah
GORONTALO,2022,2.58,Rendah,Rendah,Rendah
SULAWESI BARAT,2022,2.34,Rendah,Rendah,Rendah
MALUKU,2022,6.88,Tinggi,Tinggi,Tinggi
MALUKU UTARA,2022,3.98,Rendah,Tinggi,Rendah
PAPUA BARAT,2022,5.37,Tinggi,Rendah,Tinggi
PAPUA,2022,2.83,Rendah,Rendah,Rendah
ACEH,2023,6.03,Tinggi,Tinggi,Tinggi
SUMATERA UTARA,2023,5.89,Tinggi,Tinggi,Rendah
SUMATERA BARAT,2023,5.94,Tinggi,Tinggi,Rendah
RIAU,2023,4.23,Rendah,Tinggi,Tinggi
JAMBI,2023,4.53,Rendah,Tinggi,Rendah
SUMATERA SELATAN,2023,4.11,Rendah,Tinggi,Rendah
BENGKULU,2023,3.42,Rendah,Tinggi,Rendah
LAMPUNG,2023,4.23,Rendah,Rendah,Rendah
KEP. BANGKA BELITUNG,2023,4.56,Rendah,Tinggi,Rendah
KEP. RIAU,2023,6.8,Tinggi,Tinggi,Tinggi
DKI JAKARTA,2023,6.53,Tinggi,Tinggi,Tinggi
JAWA BARAT,2023,7.44,Tinggi,Tinggi,Tinggi
JAWA TENGAH,2023,5.13,Tinggi,Tinggi,Rendah
DI YOGYAKARTA,2023,3.69,Rendah,Tinggi,Rendah
JAWA TIMUR,2023,4.88,Rendah,Tinggi,Rendah
BANTEN,2023,7.52,Tinggi,Tinggi,Tinggi
BALI,2023,2.69,Rendah,Rendah,Rendah
NUSA TENGGARA BARAT,2023,2.8,Rendah,Rendah,Rendah
NUSA TENGGARA TIMUR,2023,3.14,Rendah,Rendah,Rendah
KALIMANTAN BARAT,2023,5.05,Tinggi,Rendah,Rendah
KALIMANTAN TENGAH,2023,4.1,Rendah,Tinggi,Rendah
KALIMANTAN SELATAN,2023,4.31,Rendah,Tinggi,Rendah
KALIMANTAN TIMUR,2023,5.31,Tinggi,Tinggi,Tinggi
KALIMANTAN UTARA,2023,4.01,Rendah,Tinggi,Rendah
SULAWESI UTARA,2023,6.1,Tinggi,Tinggi,Tinggi
SULAWESI TENGAH,2023,2.95,Rendah,Rendah,Rendah
SULAWESI SELATAN,2023,4.33,Rendah,Tinggi,Rendah
SULAWESI TENGGARA,2023,3.15,Rendah,Tinggi,Rendah
GORONTALO,2023,3.06,Rendah,Rendah,Rendah
SULAWESI BARAT,2023,2.27,Rendah,Rendah,Rendah
MALUKU,2023,6.31,Tinggi,Tinggi,Tinggi
MALUKU UTARA,2023,4.31,Rendah,Tinggi,Rendah
PAPUA BARAT,2023,5.38,Tinggi,Rendah,Tinggi
PAPUA,2023,2.67,Rendah,Rendah,Rendah
