Provinsi,Tahun,APS,PPM,RLS,IPM,TKF,PLKI,TPAK,UMP,TPT,TPT Actual,TPT NBC,TPT SVM
JAWA TENGAH,2021,99.66,11.79,8.26,72.17,39.62,60.38,69.58,1798979.0,5.95,Tinggi,Tinggi,Tinggi
DI YOGYAKARTA,2021,99.7,12.8,10.04,80.22,44.64,55.36,73.52,1765000.0,4.56,Rendah,Tinggi,Rendah
JAWA TIMUR,2021,99.4,11.4,8.37,73.48,37.36,62.64,70.0,1868777.0,5.74,Tinggi,Tinggi,Rendah
BANTEN,2021,99.45,6.66,9.29,74.68,51.13,48.87,63.79,2460968.0,8.98,Tinggi,Tinggi,Tinggi
BALI,2021,99.7,4.53,9.45,76.69,42.9,57.1,73.54,2493523.0,5.37,Tinggi,Tinggi,Rendah
NUSA TENGGARA BARAT,2021,99.52,14.14,8.13,70.86,26.11,73.89,70.57,2183883.0,3.01,Rendah,Rendah,Rendah
NUSA TENGGARA TIMUR,2021,98.42,20.99,8.2,67.02,24.03,75.97,73.78,1945902.0,3.77,Rendah,Rendah,Rendah
KALIMANTAN BARAT,2021,98.64,7.15,8.0,68.99,39.13,60.87,68.45,2399698.0,5.82,Tinggi,Rendah,Rendah
KALIMANTAN TENGAH,2021,99.55,5.16,9.03,72.81,44.5,55.5,68.67,2903144.0,4.53,Rendah,Tinggi,Rendah
KALIMANTAN SELATAN,2021,99.38,4.83,8.74,73.45,40.37,59.63,69.26,2877447.0,4.95,Rendah,Tinggi,Rendah
KALIMANTAN TIMUR,2021,99.6,6.54,10.09,76.6,53.51,46.49,65.49,2981378.0,6.83,Tinggi,Tinggi,Tinggi
KALIMANTAN UTARA,2021,98.67,7.36,9.4,71.57,49.26,50.74,66.24,3000803.0,4.58,Rendah,Tinggi,Tinggi
SULAWESI UTARA,2021,99.37,7.77,9.83,74.03,39.3,60.7,62.15,3310723.0,7.06,Tinggi,Tinggi,Tinggi
SULAWESI TENGAH,2021,98.5,13.0,9.18,70.54,32.68,67.32,68.73,2303710.0,3.75,Rendah,Rendah,Rendah
SULAWESI SELATAN,2021,99.29,8.78,8.95,73.38,36.76,63.24,64.73,3165876.0,5.72,Tinggi,Tinggi,Tinggi
SULAWESI TENGGARA,2021,99.16,11.66,9.52,71.82,37.19,62.81,70.09,2552014.0,3.92,Rendah,Tinggi,Rendah
GORONTALO,2021,99.02,15.61,8.32,69.82,37.61,62.39,65.94,2586900.0,3.01,Rendah,Rendah,Tinggi
SULAWESI BARAT,2021,98.19,11.29,8.39,68.64,27.2,72.8,70.27,2571328.0,3.13,Rendah,Rendah,Rendah
MALUKU,2021,99.52,17.87,10.25,71.55,35.59,64.41,65.75,2604960.0,6.93,Tinggi,Tinggi,Tinggi
MALUKU UTARA,2021,98.84,6.89,9.51,69.56,36.44,63.56,64.7,2721530.0,4.71,Rendah,Tinggi,Rendah
